NAME                                  AGE   VALID
allow-apps-egress-kafka               14m   True
allow-apps-intra-ns-services          14m   True
allow-dns-egress                      25m   True
allow-egress-vault-db                 25m   True
allow-identity-to-mysql               14m   True
allow-identity-to-vault               14m   True
allow-internal-identity               25m   True
allow-internal-job-to-workspace       25m   True
allow-kong-ingress                    25m   True
allow-testclient-egress-to-identity   14m   True
default-deny-all                      25m   False
default-deny-job7189-apps             14m   True
restrict-identity-api-l7              14m   True
